epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.273,1.01096,3.03202,1.5296,0.33354,0.57576,0.46585,0.3182,1.18806,2.17712,1.77566,0.00332572,0.00332572,0.00332572
2,435.608,0.91091,2.13645,1.41513,0.48604,0.634,0.62095,0.40917,1.10347,1.77716,1.73614,0.00659313,0.00659313,0.00659313
3,643.392,0.94548,1.92072,1.42743,0.53962,0.60875,0.59905,0.40519,1.18108,1.87263,1.81836,0.00979454,0.00979454,0.00979454
4,851.949,0.96016,1.76051,1.42849,0.58112,0.60505,0.61473,0.44266,1.0317,1.68217,1.66107,0.009703,0.009703,0.009703
5,1058.04,0.92714,1.60403,1.39566,0.55794,0.72629,0.67732,0.50001,0.98,1.40355,1.56671,0.009604,0.009604,0.009604
6,1264.73,0.89824,1.45941,1.37053,0.63809,0.7572,0.69762,0.51142,1.01822,1.30542,1.60281,0.009505,0.009505,0.009505
7,1475.11,0.85671,1.34192,1.34485,0.64108,0.75085,0.75028,0.54443,0.9506,1.2758,1.52692,0.009406,0.009406,0.009406
8,1683.34,0.83867,1.29023,1.33178,0.61298,0.74543,0.60627,0.47343,0.96698,1.33019,1.50154,0.009307,0.009307,0.009307
9,1891.01,0.80892,1.21995,1.30693,0.68553,0.834,0.7433,0.58303,0.90499,1.07107,1.43159,0.009208,0.009208,0.009208
10,2099.46,0.80361,1.20255,1.30763,0.74319,0.8251,0.79774,0.62722,0.82244,0.91321,1.38574,0.009109,0.009109,0.009109
11,2307.38,0.77898,1.14309,1.28597,0.73528,0.82382,0.81389,0.62682,0.84318,0.97085,1.41371,0.00901,0.00901,0.00901
12,2515.79,0.78231,1.13081,1.28977,0.79625,0.85922,0.87136,0.69409,0.80355,0.85988,1.35778,0.008911,0.008911,0.008911
13,2724.15,0.76276,1.08734,1.27847,0.71468,0.90502,0.7889,0.62982,0.77782,0.92576,1.31723,0.008812,0.008812,0.008812
14,2933.02,0.75592,1.07282,1.2736,0.83716,0.85537,0.89687,0.70702,0.79492,0.74308,1.34507,0.008713,0.008713,0.008713
15,3141.3,0.7519,1.05595,1.26823,0.73585,0.89571,0.80192,0.64158,0.83293,0.83487,1.38519,0.008614,0.008614,0.008614
16,3350,0.74716,1.03933,1.26669,0.73138,0.88343,0.79416,0.64423,0.79044,0.90774,1.32226,0.008515,0.008515,0.008515
17,3560.2,0.73474,1.0107,1.26206,0.81476,0.86858,0.89391,0.73492,0.73026,0.71083,1.25378,0.008416,0.008416,0.008416
18,3768.79,0.72765,0.99656,1.253,0.77468,0.8767,0.83838,0.69213,0.75696,0.76929,1.27793,0.008317,0.008317,0.008317
19,3979.29,0.7227,0.97093,1.25476,0.77484,0.89246,0.85833,0.69712,0.74658,0.76295,1.2671,0.008218,0.008218,0.008218
20,4188.27,0.71321,0.94165,1.24485,0.79747,0.89074,0.857,0.69362,0.7267,0.73684,1.25542,0.008119,0.008119,0.008119
21,4395.36,0.71466,0.95111,1.24772,0.8122,0.88377,0.87054,0.71589,0.72388,0.69979,1.25423,0.00802,0.00802,0.00802
22,4602.44,0.70143,0.92828,1.2418,0.85697,0.88534,0.9166,0.74633,0.7136,0.66812,1.24377,0.007921,0.007921,0.007921
23,4808.36,0.70549,0.91308,1.24278,0.80633,0.91576,0.87848,0.71387,0.68245,0.76779,1.20393,0.007822,0.007822,0.007822
24,5014.71,0.70071,0.89062,1.2365,0.79395,0.89019,0.8707,0.70898,0.73782,0.70829,1.24285,0.007723,0.007723,0.007723
25,5221.39,0.69997,0.90229,1.23501,0.86899,0.84804,0.91207,0.74082,0.71629,0.72393,1.24919,0.007624,0.007624,0.007624
26,5427.14,0.6949,0.88027,1.23044,0.84997,0.89062,0.90816,0.74916,0.68991,0.62918,1.22045,0.007525,0.007525,0.007525
27,5633.83,0.67703,0.85768,1.22221,0.84934,0.92921,0.92582,0.76515,0.68205,0.61426,1.20061,0.007426,0.007426,0.007426
28,5841.01,0.6753,0.84118,1.2194,0.91639,0.89975,0.95188,0.78629,0.69455,0.55821,1.21021,0.007327,0.007327,0.007327
29,6045.92,0.67273,0.84447,1.21587,0.90034,0.90385,0.94381,0.76917,0.69081,0.60111,1.19329,0.007228,0.007228,0.007228
30,6250.76,0.67251,0.82421,1.21465,0.91892,0.90278,0.94592,0.78946,0.68446,0.55288,1.19515,0.007129,0.007129,0.007129
31,6461.34,0.67098,0.82574,1.2149,0.87828,0.89999,0.9232,0.75342,0.71575,0.63019,1.22398,0.00703,0.00703,0.00703
32,6667.36,0.66372,0.80048,1.20973,0.93553,0.92672,0.95951,0.79407,0.68362,0.52679,1.19825,0.006931,0.006931,0.006931
33,6875.77,0.66223,0.79634,1.21269,0.91988,0.92584,0.95948,0.79936,0.67,0.55256,1.18655,0.006832,0.006832,0.006832
34,7081.37,0.65987,0.80175,1.2079,0.92537,0.91668,0.95347,0.79942,0.64196,0.51625,1.16996,0.006733,0.006733,0.006733
35,7284.21,0.66367,0.79446,1.2126,0.92584,0.9342,0.95738,0.79862,0.6667,0.53963,1.1864,0.006634,0.006634,0.006634
36,7487.95,0.64963,0.78776,1.20189,0.94955,0.95484,0.97545,0.81885,0.6666,0.49165,1.17475,0.006535,0.006535,0.006535
37,7690.55,0.64786,0.77924,1.19748,0.93785,0.92919,0.96363,0.80444,0.65666,0.53075,1.1627,0.006436,0.006436,0.006436
38,7894.08,0.64997,0.7758,1.20113,0.92152,0.92471,0.95861,0.80652,0.64528,0.50971,1.13705,0.006337,0.006337,0.006337
39,8097.5,0.64093,0.76712,1.19544,0.9479,0.93912,0.96958,0.81367,0.6423,0.50419,1.14211,0.006238,0.006238,0.006238
40,8301.84,0.64082,0.76005,1.19265,0.91334,0.92775,0.95737,0.80592,0.62652,0.51722,1.1355,0.006139,0.006139,0.006139
41,8505.78,0.62996,0.74774,1.18639,0.90331,0.92605,0.95141,0.79429,0.68467,0.54263,1.17825,0.00604,0.00604,0.00604
42,8709.73,0.63403,0.74878,1.18824,0.94474,0.94993,0.97306,0.82257,0.63249,0.47636,1.12317,0.005941,0.005941,0.005941
43,8911.57,0.63453,0.7451,1.19023,0.9422,0.94106,0.97057,0.82583,0.62499,0.47529,1.13594,0.005842,0.005842,0.005842
44,9114.55,0.63577,0.7403,1.18904,0.9358,0.95143,0.97205,0.82949,0.62066,0.47356,1.13236,0.005743,0.005743,0.005743
45,9315.83,0.62686,0.72674,1.18409,0.9606,0.95462,0.97643,0.83062,0.62921,0.43953,1.1276,0.005644,0.005644,0.005644
46,9518.33,0.62616,0.7251,1.18116,0.94492,0.95404,0.97135,0.82222,0.62816,0.46527,1.11613,0.005545,0.005545,0.005545
47,9719.34,0.62477,0.71616,1.18417,0.95155,0.95308,0.97621,0.82996,0.64601,0.47689,1.15064,0.005446,0.005446,0.005446
48,9921.78,0.62145,0.71736,1.17903,0.96216,0.94935,0.97814,0.83239,0.61244,0.46192,1.10583,0.005347,0.005347,0.005347
49,10125.8,0.62092,0.70879,1.17857,0.94801,0.94734,0.97101,0.82961,0.6016,0.46237,1.08795,0.005248,0.005248,0.005248
50,10326.5,0.61918,0.70339,1.18046,0.94385,0.94825,0.97369,0.83328,0.60345,0.44743,1.10426,0.005149,0.005149,0.005149
51,10530.7,0.60761,0.69546,1.17277,0.95575,0.95208,0.97457,0.83698,0.59187,0.45268,1.07668,0.00505,0.00505,0.00505
52,10732.6,0.6104,0.69875,1.17273,0.94048,0.95561,0.97317,0.84153,0.57873,0.43623,1.07103,0.004951,0.004951,0.004951
53,10935.7,0.61399,0.69183,1.17266,0.94285,0.95245,0.97222,0.8327,0.59705,0.45715,1.08349,0.004852,0.004852,0.004852
54,11135.8,0.6025,0.67793,1.17089,0.95712,0.95157,0.9773,0.83781,0.60872,0.43455,1.07571,0.004753,0.004753,0.004753
55,11338.5,0.59605,0.66962,1.16646,0.95231,0.95769,0.97478,0.8384,0.6023,0.43427,1.08277,0.004654,0.004654,0.004654
56,11543.1,0.60676,0.67636,1.16802,0.96483,0.94692,0.97966,0.84284,0.59867,0.42204,1.07303,0.004555,0.004555,0.004555
57,11749.8,0.60512,0.67227,1.16479,0.9533,0.95493,0.97565,0.84712,0.57711,0.42911,1.06741,0.004456,0.004456,0.004456
